Linux 6.15.6-arch1-1 (LegionArch) 	10/18/25 	_x86_64_	(16 CPU)

14:18:53      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
14:18:54     1000     81192   94.00    5.00    0.00    0.00   99.00     7  blur
14:18:55     1000     81192  100.00    0.00    0.00    0.00  100.00     7  blur
14:18:56     1000     81192  100.00    0.00    0.00    0.00  100.00     6  blur
14:18:57     1000     81192  100.00    0.00    0.00    0.00  100.00     7  blur
14:18:58     1000     81192  100.00    0.00    0.00    0.00  100.00     7  blur
14:18:59     1000     81192  100.00    0.00    0.00    0.00  100.00     6  blur
14:19:00     1000     81192  100.00    0.00    0.00    0.00  100.00     6  blur
14:19:01     1000     81192  100.00    0.00    0.00    0.00  100.00     3  blur
14:19:02     1000     81192  100.00    0.00    0.00    0.00  100.00     3  blur
14:19:03     1000     81192  100.00    0.00    0.00    0.00  100.00     3  blur
