procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1 442880 630072  48428 4817452   0    1  1347   668 8139    5  2  1 97  0  0  0
 2  0 442880 475836  48524 4831124   0    0  2804 11528 19055 16072 10 5 85 0  0  0
 1  0 442880 467728  48524 4831140   0    0    16     0 9705 8719  7  1 92  0  0  0
 1  0 442876 470488  48524 4831152   0    0     0     0 11834 10063 7 1 92  0  0  0
 1  0 442876 459884  48656 4830904   0    0   132    44 15514 15652 11 1 88 0  0  0
 1  0 442876 458904  48664 4831204   0    0   432   312 11935 13169 9 1 90  0  0  0
 1  0 442876 454180  48664 4828884   0    0    16     0 9341 8265  7  1 92  0  0  0
 1  0 442876 453548  48788 4828712   0    0   248   252 7875 7051  7  1 92  0  0  0
 1  0 442876 451808  48952 4830916   0    0   136   496 10643 11064 7 1 92  0  0  0
 2  0 442876 453236  48952 4830984   0    0     0   756 12072 10065 8 1 92  0  0  0
 1  0 442876 448820  48960 4830904   0    0    24   128 12068 10515 7 1 91  0  0  0
