Linux 6.15.6-arch1-1 (LegionArch) 	10/18/25 	_x86_64_	(16 CPU)

17:11:24      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
17:11:25     1000    272992   93.00    4.00    0.00    0.00   97.00     7  blur
17:11:26     1000    272992  100.00    0.00    0.00    0.00  100.00     7  blur
17:11:27     1000    272992  100.00    0.00    0.00    0.00  100.00     6  blur
17:11:28     1000    272992  100.00    0.00    0.00    0.00  100.00     7  blur
17:11:29     1000    272992  100.00    0.00    0.00    0.00  100.00     7  blur
17:11:30     1000    272992  100.00    0.00    0.00    0.00  100.00     7  blur
17:11:31     1000    272992  100.00    0.00    0.00    0.00  100.00     7  blur
17:11:32     1000    272992  100.00    0.00    0.00    0.00  100.00     7  blur
17:11:33     1000    272992  100.00    0.00    0.00    0.00  100.00     7  blur
17:11:34     1000    272992  100.00    0.00    0.00    0.00  100.00     7  blur
