procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 2368000 3382028 35220 2237236  0   11   694   445 8117    5  2  1 97  0  0  0
 2  0 2367988 3178468 35244 2273148  0    0 26256 12368 13397 12603 8 2 90  0  0  0
 1  0 2367988 3169276 35244 2273112  0    0     0     0 10184 8351 8  1 91  0  0  0
 1  0 2367988 3177964 35244 2273464  0    0   300   108 9401 8670  7  1 91  0  0  0
 1  0 2367988 3164792 35244 2274552  0    0   588   848 15224 18461 12 2 86 0  0  0
 1  0 2367988 3218080 34984 2235332  0    0 49812 54660 21016 14461 9 2 89  1  0  0
 1  0 2367988 3214512 34992 2235068  0    0     4   176 9033 8442  7  1 92  0  0  0
 1  0 2367988 3198524 34992 2235068  0    0     0     4 10692 9489 8  1 91  0  0  0
 1  0 2367988 3203340 34992 2235068  0    0     0     0 8492 8278  7  1 93  0  0  0
 2  0 2367988 3203000 35000 2235076  0    0     0    84 8724 8795  7  1 92  0  0  0
 1  0 2367988 3202624 35000 2235144  0    0     0     0 8532 8341  7  1 92  0  0  0
