Linux 6.15.1-arch1-2 (LegionArch) 	06/14/25 	_x86_64_	(16 CPU)

13:31:15      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:31:16     1000   1902364   95.00    5.00    0.00    0.00  100.00     3  blur
13:31:17     1000   1902364   99.00    0.00    0.00    0.00   99.00     3  blur
13:31:18     1000   1902364  100.00    0.00    0.00    0.00  100.00     3  blur
13:31:19     1000   1902364  100.00    0.00    0.00    0.00  100.00     6  blur
13:31:20     1000   1902364  100.00    0.00    0.00    0.00  100.00     3  blur
13:31:21     1000   1902364  100.00    0.00    0.00    0.00  100.00     7  blur
13:31:22     1000   1902364  100.00    0.00    0.00    0.00  100.00     7  blur
13:31:23     1000   1902364  100.00    0.00    0.00    0.00  100.00     7  blur
13:31:24     1000   1902364  100.00    0.00    0.00    0.00  100.00     7  blur
13:31:25     1000   1902364  100.00    0.00    0.00    0.00  100.00     6  blur
13:31:26     1000   1902364  100.00    0.00    0.00    0.00  100.00     6  blur
13:31:27     1000   1902364  100.00    0.00    0.00    0.00  100.00     6  blur
13:31:28     1000   1902364   98.00    1.00    0.00    0.00   99.00     6  blur
