procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 4244840 4600824 26264 2024036  4   21   425   279 6612    7  5  1 93  0  0  0
 2  0 4244840 4468304 26272 2024068  0    0     4  9952 10581 11328 9 3 88  0  0  0
 3  0 4244840 4469888 26272 2024148  0    0     0   144 8908 9493  8  1 91  0  0  0
 3  0 4244840 4478944 26272 2023928  0    0     0     0 9760 10024 9  1 90  0  0  0
 1  0 4244840 4466692 26272 2024068  0    0     0   112 10239 10541 9 2 88  0  0  0
 1  0 4244840 4476932 26272 2024088  0    0     0   444 9814 11341 9  1 90  0  0  0
 1  2 4244840 4475452 26276 2024088  0    0     0    60 8387 9216  8  1 91  0  0  0
 1  0 4244840 4487240 26280 2024088  0    0     0     4 9360 10089 8  1 90  0  0  0
 2  0 4244840 4474772 26280 2024368  0    0     0     0 10508 10652 9 2 89  0  0  0
 1  0 4244840 4478400 26280 2024088  0    0     0     0 8119 8712  8  1 91  0  0  0
 1  0 4244840 4497540 26280 2024088  0    0     0     0 8423 9131  8  1 91  0  0  0
 2  0 4244836 4495240 26288 2024092  0    0     0   188 9038 9279  9  1 90  0  0  0
 1  0 4244836 4534320 26288 2024048  0    0     0   356 9295 9491  9  1 90  0  0  0
 1  0 4244832 4528660 26288 2037384  0    0     0     0 9713 12591 9  2 89  0  0  0
