Linux 6.15.6-arch1-1 (LegionArch) 	10/19/25 	_x86_64_	(16 CPU)

01:01:07      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:01:08     1000    675952         -  130.00    5.00    0.00    0.00  135.00     2  blur_par
01:01:08     1000         -    675952   58.00    5.00    0.00    0.00   63.00     2  |__blur_par
01:01:08     1000         -    676004   35.00    0.00    0.00    0.00   35.00     7  |__blur_par
01:01:08     1000         -    676005   35.00    0.00    0.00    0.00   35.00     3  |__blur_par
01:01:09     1000    675952         -  187.13    1.98    0.00    0.00  189.11     2  blur_par
01:01:09     1000         -    675952    6.93    1.98    0.00    0.00    8.91     2  |__blur_par
01:01:09     1000         -    676009   19.80    0.00    0.00    0.00   19.80     2  |__blur_par
01:01:09     1000         -    676010   19.80    0.00    0.00    0.00   19.80     6  |__blur_par
01:01:10     1000    675952         -  184.00    0.00    0.00    0.00  184.00     2  blur_par
01:01:10     1000         -    675952   15.00    0.00    0.00    0.00   15.00     2  |__blur_par
