Linux 6.15.6-arch1-1 (LegionArch) 	10/17/25 	_x86_64_	(16 CPU)

00:20:26      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
00:20:27     1000    818267   94.00    4.00    0.00    0.00   98.00     3  blur
00:20:28     1000    818267  100.00    0.00    0.00    0.00  100.00     3  blur
00:20:29     1000    818267  100.00    0.00    0.00    0.00  100.00     3  blur
00:20:30     1000    818267  100.00    0.00    0.00    0.00  100.00     3  blur
00:20:31     1000    818267  100.00    0.00    0.00    0.00  100.00     2  blur
00:20:32     1000    818267  100.00    0.00    0.00    0.00  100.00     2  blur
00:20:33     1000    818267  100.00    0.00    0.00    0.00  100.00     2  blur
00:20:34     1000    818267  100.00    0.00    0.00    0.00  100.00     2  blur
00:20:35     1000    818267  100.00    0.00    0.00    0.00  100.00     2  blur
00:20:36     1000    818267  100.00    0.00    0.00    0.00  100.00     2  blur
00:20:37     1000    818267  100.00    0.00    0.00    0.00  100.00     3  blur
