procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1 2245180 1576112 31028 4745020  0    0    80    64 2920    4  2  1 97  0  0  0
 2  0 2245172 1393392 31036 4783464  0    0 25784 11240 6488 5634  7  1 91  0  0  0
 2  0 2245172 1393332 31036 4780264  0    0     0     0 4505 3114  7  1 92  0  0  0
 2  0 2245172 1394356 31036 4780268  0    0     0     0 3121 2517  7  0 93  0  0  0
 2  0 2245172 1394028 31036 4780268  0    0     0     0 3048 2419  7  0 93  0  0  0
 2  0 2245172 1394020 31036 4780268  0    0     0     0 3451 2669  7  0 93  0  0  0
 3  0 2245172 1396080 31044 4780268  0    0     0    36 3339 2717  7  0 93  0  0  0
 2  0 2245168 1398588 31044 4780268  0    0     0     0 3607 2813  7  0 93  0  0  0
 2  0 2245168 1399272 31044 4780272  0    0     0     0 3179 2453  7  0 93  0  0  0
 2  0 2245168 1399048 31044 4780272  0    0     0     0 2951 2297  7  0 93  0  0  0
 3  0 2245168 1400704 31044 4780272  0    0     0     0 3341 2448  7  0 93  0  0  0
 2  0 2244124 1376228 31084 4788980  0    0    92   508 23100 21861 18 4 77 1  0  0
