procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 6959324 469976  9620 1790656  20   47   384   391 6565    4  2  1 97  0  0  0
 2  0 6958620 365060  9632 1812508  80    0  8440 12404 20664 24234 11 3 86 0  0  0
 1  0 6958344 378556  9632 1812588   0    0    12     0 7568 8112  7  1 91  0  0  0
 2  0 6957368 381960  9632 1812592   8    0     8     0 6931 7729  7  1 92  0  0  0
 5  0 6957224 394676  9664 1818252   0    0  2932   728 12863 11205 15 12 72 0 0  0
 5  1 6957196 275208  9672 1844064   0    0 202300   52 21825 13272 15 15 67 2 0  0
 5  0 6956880 287044  9664 1758988   4    0 127280 7304 43633 24061 24 17 58 1 0  0
 4  1 6995128 518640  9560 1743980 132  128 14552 140000 74528 21098 21 17 62 0 0 0
 4  0 7036640 611372  9584 1734696 2848 2800 3208 21480 70812 25670 18 17 65 0 0  0
 5  0 7030380 586140  9732 1738692   0    0   248   156 32918 28717 16 15 70 0 0  0
