Linux 6.15.6-arch1-1 (LegionArch) 	10/19/25 	_x86_64_	(16 CPU)

17:59:44      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
17:59:45     1000   1496170         -  177.00    0.00    0.00    0.00  177.00     2  pearson_par
17:59:45     1000         -   1496170   21.00    0.00    0.00    0.00   21.00     2  |__pearson_par
17:59:45     1000         -   1496174   77.00    0.00    0.00    0.00   77.00     3  |__pearson_par
17:59:45     1000         -   1496175   77.00    0.00    0.00    0.00   77.00     7  |__pearson_par
17:59:46     1000   1496170         -  104.00    0.00    0.00    0.00  104.00     2  pearson_par
17:59:46     1000         -   1496170    0.00    0.00    0.00    0.00    0.00     2  |__pearson_par
17:59:46     1000         -   1496174  100.00    0.00    0.00    0.00  100.00     3  |__pearson_par
17:59:47     1000   1496170         -   77.00   24.00    0.00    0.00  101.00     3  pearson_par
17:59:47     1000         -   1496170    8.00   24.00    0.00    0.00   32.00     3  |__pearson_par
17:59:48     1000   1496170         -   24.00   76.00    0.00    0.00  100.00     3  pearson_par
17:59:48     1000         -   1496170   24.00   76.00    0.00    0.00  100.00     3  |__pearson_par
17:59:49     1000   1496170         -   23.00   76.00    0.00    0.00   99.00     3  pearson_par
17:59:49     1000         -   1496170   24.00   76.00    0.00    0.00  100.00     3  |__pearson_par
17:59:50     1000   1496170         -   22.00   78.00    0.00    0.00  100.00     3  pearson_par
17:59:50     1000         -   1496170   21.00   78.00    0.00    0.00   99.00     3  |__pearson_par
