Linux 6.15.1-arch1-2 (LegionArch) 	06/13/25 	_x86_64_	(16 CPU)

19:41:31      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
19:41:32     1000    638360   99.00    0.00    0.00    0.00   99.00     2  pearson
19:41:33     1000    638360   99.00    0.00    0.00    0.00   99.00     6  pearson
19:41:34     1000    638360  100.00    0.00    0.00    1.00  100.00     6  pearson
19:41:35     1000    638360  100.00    0.00    0.00    0.00  100.00     7  pearson
19:41:36     1000    638360  100.00    0.00    0.00    0.00  100.00     7  pearson
19:41:37     1000    638360  100.00    0.00    0.00    0.00  100.00     6  pearson
19:41:38     1000    638360   99.00    0.00    0.00    0.00   99.00     2  pearson
19:41:39     1000    638360  100.00    1.00    0.00    0.00  101.00     6  pearson
19:41:40     1000    638360  100.00    0.00    0.00    0.00  100.00     6  pearson
19:41:41     1000    638360  100.00    0.00    0.00    0.00  100.00     7  pearson
19:41:42     1000    638360  100.00    0.00    0.00    0.00  100.00     6  pearson
19:41:43     1000    638360  100.00    0.00    0.00    0.00  100.00     6  pearson
19:41:44     1000    638360   99.00    0.00    0.00    1.00   99.00     7  pearson
19:41:45     1000    638360  100.00    0.00    0.00    0.00  100.00     7  pearson
19:41:46     1000    638360  100.00    0.00    0.00    0.00  100.00     6  pearson
19:41:47     1000    638360  100.00    0.00    0.00    0.00  100.00     7  pearson
19:41:48     1000    638360  100.00    0.00    0.00    0.00  100.00     7  pearson
19:41:49     1000    638360  100.00    0.00    0.00    0.00  100.00     7  pearson
19:41:50     1000    638360  100.00    0.00    0.00    0.00  100.00     7  pearson
19:41:51     1000    638360  100.00    0.00    0.00    0.00  100.00     6  pearson
19:41:52     1000    638360  100.00    0.00    0.00    0.00  100.00     2  pearson
19:41:53     1000    638360   99.00    0.00    0.00    1.00   99.00     6  pearson
19:41:54     1000    638360  100.00    0.00    0.00    0.00  100.00     7  pearson
19:41:55     1000    638360  100.00    0.00    0.00    0.00  100.00     7  pearson
19:41:56     1000    638360  100.00    0.00    0.00    0.00  100.00     7  pearson
19:41:57     1000    638360   98.02    0.00    0.00    0.99   98.02     7  pearson
19:41:58     1000    638360  100.00    0.00    0.00    0.00  100.00     7  pearson
19:41:59     1000    638360   19.00   81.00    0.00    0.00  100.00     7  pearson
