procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 2077940 1745520 144460 3680412 0    1   458   358 4340    7  3  1 96  0  0  0
 9  0 2077928 1692328 144476 3686028 0    0  2244 15248 16868 18245 10 3 87 0  0  0
 2  0 2077836 1691764 144532 3686048 0    0    76   128 29458 34405 14 3 83 0  0  0
 2  0 2077836 1691928 144632 3686092 0    0   124   352 17599 21558 11 2 87 0  0  0
 3  0 2077832 1656880 144632 3686116 0    0     8   232 21337 11376 9 3 88  0  0  0
 3  0 2077832 1626388 144620 3630588 0    0 37656     0 24679 19607 13 3 83 1  0  0
 1  0 2078500 1782864 144604 3607296 0    0 64388 108792 36371 17877 11 4 84 1 0  0
 2  0 2078500 1790856 144612 3607280 0    0     0   188 11595 11300 9 1 90  0  0  0
 1  0 2078500 1789064 144612 3607280 0    0     0     0 8410 8794  8  1 91  0  0  0
 1  0 2078500 1792552 144612 3607280 0    0     0     0 13921 14184 9 1 90  0  0  0
 3  0 2078496 1798492 144612 3607280 0    0     0     0 12317 11876 9 2 90  0  0  0
 1  0 2078496 1812772 144612 3607096 0    0     0     0 14261 14069 9 1 90  0  0  0
 1  3 2078496 1810176 144620 3607132 0    0     8    20 13552 12948 9 1 89  1  0  0
 1  0 2078496 1800380 144624 3607284 0    0     0     4 25692 30074 10 2 88 0  0  0
 4  0 2078492 1781332 144636 3607248 0    0    36    12 16898 15753 10 2 88 0  0  0
 2  0 2078488 1780184 144652 3607312 0    0     0   132 15606 14054 9 2 89  0  0  0
 1  0 2078488 1776428 144652 3607024 0    0     0     0 13166 11602 8 1 91  0  0  0
 4  0 2078484 1765348 144672 3607328 0    0    32     0 14872 16278 10 2 88 0  0  0
 4  0 2078480 1723552 147800 3625928 0    0 11748     0 17874 18990 12 6 81 1  0  0
 2  1 2078480 1712348 154872 3639184 0    0 11620   528 19955 18203 11 6 83 0  0  0
 3  0 2078476 1720252 157300 3639768 0    0  2424  1912 16239 14100 12 7 81 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 2078476 1718696 158512 3640368 0    0  1348     0 16323 17782 12 7 80 0  0  0
 6  0 2078476 1679808 183716 3661620 0    0 28896   180 17899 14691 13 8 78 1  0  0
 4  0 2078472 1576848 206344 3694680 0    0 22808     0 21310 21080 13 10 76 1 0  0
 7  0 2078472 1441460 209148 3798944 0    0  2936     0 24732 25294 15 20 65 1 0  0
 4  0 2101940 1500916 222256 3815372 0  204 15600   204 55518 28920 15 16 69 1 0  0
 8  1 2101936 1487316 225252 3821360 0    0  3140     0 32839 38404 18 21 61 0 0  0
 5  0 2101936 1431492 225992 3841772 0    0   708  8688 26052 26051 19 23 58 0 0  0
 7  0 2101936 1441532 231632 3851988 0    0  5656   144 30451 34324 12 31 57 0 0  0
