Linux 6.15.6-arch1-1 (LegionArch) 	10/17/25 	_x86_64_	(16 CPU)

00:35:49      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
00:35:50     1000    831794   98.00    1.00    0.00    0.00   99.00     3  pearson
00:35:51     1000    831794  100.00    0.00    0.00    0.00  100.00     2  pearson
00:35:52     1000    831794  100.00    0.00    0.00    0.00  100.00     3  pearson
00:35:53     1000    831794  101.00    0.00    0.00    0.00  101.00     3  pearson
00:35:54     1000    831794   99.00    0.00    0.00    0.00   99.00     3  pearson
00:35:55     1000    831794  100.00    0.00    0.00    0.00  100.00     3  pearson
00:35:56     1000    831794  100.00    0.00    0.00    0.00  100.00     3  pearson
00:35:57     1000    831794  100.00    0.00    0.00    0.00  100.00     3  pearson
00:35:58     1000    831794  100.00    0.00    0.00    0.00  100.00     3  pearson
00:35:59     1000    831794  100.00    0.00    0.00    0.00  100.00     3  pearson
00:36:00     1000    831794  100.00    0.00    0.00    0.00  100.00     3  pearson
00:36:01     1000    831794  100.00    0.00    0.00    0.00  100.00     3  pearson
00:36:02     1000    831794  100.00    0.00    0.00    0.00  100.00     2  pearson
00:36:03     1000    831794  100.00    0.00    0.00    0.00  100.00     2  pearson
00:36:04     1000    831794  100.00    0.00    0.00    0.00  100.00     3  pearson
00:36:05     1000    831794  100.00    0.00    0.00    0.00  100.00     2  pearson
00:36:06     1000    831794  100.00    0.00    0.00    0.00  100.00     2  pearson
00:36:07     1000    831794  100.00    0.00    0.00    0.00  100.00     2  pearson
00:36:08     1000    831794  100.00    0.00    0.00    0.00  100.00     3  pearson
00:36:09     1000    831794  100.00    0.00    0.00    0.00  100.00     3  pearson
00:36:10     1000    831794  100.00    0.00    0.00    0.00  100.00     3  pearson
00:36:11     1000    831794  100.00    0.00    0.00    0.00  100.00     3  pearson
00:36:12     1000    831794  100.00    0.00    0.00    0.00  100.00     3  pearson
00:36:13     1000    831794   71.00   29.00    0.00    0.00  100.00     3  pearson
00:36:14     1000    831794   15.00   85.00    0.00    0.00  100.00     3  pearson
00:36:15     1000    831794   14.00   86.00    0.00    0.00  100.00     2  pearson
