procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 2248444 975340 35696 4977576   0    0    86    66 2930    4  2  1 97  0  0  0
 2  0 2248256 941316 35696 4990500   0    0  1068 11008 9414 6522 10  1 89  0  0  0
 2  0 2248256 936768 35696 4990500   0    0     0    84 3788 2940  7  0 93  0  0  0
 2  0 2248256 936180 35696 4990500   0    0     0     0 4291 5570  7  0 93  0  0  0
 3  0 2248256 875932 35696 4995828   0    0  5512   140 5928 4815  9  1 89  0  0  0
 1  0 2250332 1031368 35704 4886344  0    0 84344 122948 24388 6555 9 3 87  1  0  0
 2  0 2250332 1033600 35704 4884276  0    0     0     0 3000 2386  7  0 93  0  0  0
 2  0 2250332 1038380 35704 4884280  0    0     0     0 3295 2434  7  0 93  0  0  0
 1  0 2250332 1041032 35704 4884280  0    0     0     0 3811 2725  7  0 93  0  0  0
 1  0 2250332 1042972 35704 4884284  0    0     0     0 2683 2170  7  0 93  0  0  0
 2  3 2250320 1045540 35708 4884284  0    0     0    68 2896 2350  6  0 93  0  0  0
 1  0 2250320 1047456 35728 4884284  0    0     0    92 3420 2546  7  0 92  1  0  0
 1  0 2250320 1050324 35728 4884284  0    0     0     0 3579 2624  7  1 93  0  0  0
 1  0 2250320 1047144 35728 4884288  0    0     0     0 3015 2477  6  0 93  0  0  0
 1  0 2250320 1048880 35728 4884288  0    0     0     0 2683 2206  6  0 93  0  0  0
 1  0 2250320 1049940 35728 4884292  0    0     0     0 3137 2335  7  0 93  0  0  0
 1  0 2250316 1049652 35736 4884292  0    0     0    64 3649 2720  7  0 92  1  0  0
 1  0 2250316 1053896 35736 4884292  0    0     0     0 2764 2194  6  0 93  0  0  0
 1  0 2250316 1054828 35736 4884292  0    0     0     0 2717 2175  7  0 93  0  0  0
 1  0 2250316 1056356 35736 4884292  0    0     0     0 3256 2425  7  0 93  0  0  0
 1  0 2250316 1054564 35736 4884292  0    0     0     0 3583 2625  7  0 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 2250316 1057732 35744 4884288  0    0     0    24 2918 2362  7  0 93  0  0  0
 1  0 2250316 1059140 35744 4884300  0    0     0     0 2805 2279  7  0 93  0  0  0
 1  0 2250316 1059364 35744 4884300  0    0     0     0 3155 2476  7  0 93  0  0  0
 4  0 2250316 1056208 35760 4885596  0    0     0    96 5095 3339  9  5 85  0  0  0
 4  0 2250316 1055696 35760 4888916  0    0     0     0 6869 3032 12 13 74  0  0  0
 5  0 2250316 1045912 35760 4894308  0    0     0     0 7754 3870 13 13 74  0  0  0
